Patron,Salida_RNA,Salida_Esperada,Correcto
425,akiec,bkl,NO
426,bkl,nv,NO
427,bcc,nv,NO
428,akiec,nv,NO
429,nv,nv,SI
430,nv,nv,SI
431,mel,mel,SI
432,nv,nv,SI
433,nv,nv,SI
434,nv,nv,SI
435,nv,nv,SI
436,vasc,nv,NO
437,nv,nv,SI
438,mel,nv,NO
439,df,nv,NO
440,nv,nv,SI
441,akiec,nv,NO
442,nv,nv,SI
443,akiec,nv,NO
444,bkl,nv,NO
445,akiec,nv,NO
446,akiec,akiec,SI
447,nv,nv,SI
448,nv,nv,SI
449,akiec,nv,NO
450,nv,nv,SI
451,vasc,nv,NO
452,nv,nv,SI
453,akiec,nv,NO
454,bcc,nv,NO
455,mel,nv,NO
456,bcc,nv,NO
457,nv,nv,SI
458,nv,nv,SI
459,bcc,bcc,SI
460,nv,nv,SI
461,bcc,bcc,SI
462,nv,nv,SI
463,vasc,nv,NO
464,bcc,nv,NO
465,bcc,bkl,NO
466,vasc,nv,NO
467,nv,vasc,NO
468,bcc,bcc,SI
469,nv,mel,NO
470,nv,nv,SI
471,bcc,bkl,NO
472,vasc,nv,NO
473,mel,mel,SI
474,bkl,nv,NO
475,nv,nv,SI
476,akiec,bkl,NO
477,akiec,bkl,NO
478,bcc,nv,NO
479,nv,nv,SI
480,nv,nv,SI
481,nv,bcc,NO
482,akiec,nv,NO
483,nv,bkl,NO
484,akiec,akiec,SI
485,bcc,nv,NO
486,bcc,df,NO
487,nv,nv,SI
488,nv,nv,SI
489,akiec,akiec,SI
490,bkl,bkl,SI
491,vasc,nv,NO
492,akiec,nv,NO
493,nv,bkl,NO
494,bcc,bcc,SI
495,bcc,bcc,SI
496,akiec,bcc,NO
497,akiec,mel,NO
498,df,mel,NO
499,mel,nv,NO
500,mel,nv,NO
501,nv,mel,NO
502,bcc,akiec,NO
503,df,nv,NO
504,mel,nv,NO
505,nv,nv,SI
506,mel,mel,SI
507,nv,nv,SI
508,nv,mel,NO
509,df,mel,NO
510,akiec,df,NO
511,nv,nv,SI
512,nv,nv,SI
513,bkl,nv,NO
514,nv,nv,SI
515,nv,nv,SI
516,bcc,nv,NO
517,nv,mel,NO
518,akiec,nv,NO
519,nv,nv,SI
520,bcc,nv,NO
521,nv,mel,NO
522,nv,nv,SI
523,bkl,nv,NO
524,mel,nv,NO
525,nv,nv,SI
526,nv,nv,SI
527,nv,nv,SI
528,akiec,bkl,NO
529,nv,nv,SI
530,akiec,nv,NO
531,bkl,nv,NO
532,nv,nv,SI
533,nv,nv,SI
534,mel,bkl,NO
535,bkl,nv,NO
536,nv,mel,NO
537,mel,mel,SI
538,akiec,nv,NO
539,vasc,bcc,NO
540,nv,nv,SI
541,nv,nv,SI
542,nv,nv,SI
543,mel,nv,NO
544,nv,nv,SI
545,vasc,nv,NO
546,bcc,nv,NO
547,mel,nv,NO
548,akiec,bkl,NO
549,vasc,nv,NO
550,mel,mel,SI
551,nv,nv,SI
552,akiec,mel,NO
553,akiec,bkl,NO
554,vasc,nv,NO
555,nv,nv,SI
556,nv,nv,SI
557,akiec,nv,NO
558,nv,nv,SI
559,nv,nv,SI
560,nv,mel,NO
561,bcc,bcc,SI
562,akiec,nv,NO
563,bkl,mel,NO
564,bkl,mel,NO
565,mel,nv,NO
566,mel,nv,NO
567,mel,bkl,NO
568,nv,nv,SI
569,bkl,nv,NO
570,nv,vasc,NO
571,akiec,bcc,NO
572,nv,nv,SI
573,nv,nv,SI
574,nv,nv,SI
575,vasc,nv,NO
576,mel,nv,NO
577,bkl,nv,NO
578,nv,nv,SI
579,mel,mel,SI
580,df,nv,NO
581,mel,nv,NO
582,bcc,df,NO
583,mel,mel,SI
584,bkl,bkl,SI
585,bcc,nv,NO
586,nv,nv,SI
587,bcc,bcc,SI
588,akiec,nv,NO
589,mel,mel,SI
590,mel,bkl,NO
591,nv,nv,SI
592,bcc,bcc,SI
593,bcc,nv,NO
594,df,vasc,NO
595,nv,nv,SI
596,nv,mel,NO
597,akiec,nv,NO
598,akiec,nv,NO
599,bkl,mel,NO
600,vasc,bkl,NO
601,nv,nv,SI
602,mel,nv,NO
603,nv,mel,NO
604,bkl,bkl,SI
605,bcc,bcc,SI
606,akiec,nv,NO
607,bcc,nv,NO
608,nv,nv,SI
609,df,nv,NO
610,nv,nv,SI
611,nv,nv,SI
612,akiec,nv,NO
613,nv,nv,SI
614,df,nv,NO
615,bcc,bcc,SI
616,df,mel,NO
617,nv,nv,SI
618,nv,nv,SI
619,nv,nv,SI
620,nv,bkl,NO
621,mel,nv,NO
622,akiec,nv,NO
623,nv,nv,SI
624,mel,bkl,NO
625,vasc,mel,NO
626,bcc,nv,NO
627,nv,nv,SI
628,nv,nv,SI
629,bkl,vasc,NO
630,nv,nv,SI
631,nv,nv,SI
632,mel,bkl,NO
633,bcc,nv,NO
634,nv,nv,SI
635,akiec,akiec,SI
636,akiec,bkl,NO
637,nv,nv,SI
638,mel,nv,NO
639,bcc,akiec,NO
640,mel,nv,NO
641,mel,mel,SI
642,vasc,nv,NO
643,akiec,bkl,NO
644,nv,nv,SI
645,nv,nv,SI
646,akiec,mel,NO
647,akiec,akiec,SI
648,nv,nv,SI
649,mel,nv,NO
650,bcc,nv,NO
651,mel,mel,SI
652,nv,nv,SI
653,akiec,nv,NO
654,mel,akiec,NO
655,akiec,akiec,SI
656,akiec,mel,NO
657,bcc,nv,NO
658,nv,nv,SI
659,mel,nv,NO
660,mel,mel,SI
661,df,nv,NO
662,nv,mel,NO
663,nv,nv,SI
664,mel,bcc,NO
665,nv,nv,SI
666,akiec,nv,NO
667,nv,nv,SI
668,bcc,nv,NO
669,mel,mel,SI
670,nv,nv,SI
671,vasc,bkl,NO
672,nv,nv,SI
673,nv,mel,NO
674,bcc,bcc,SI
675,mel,akiec,NO
676,bcc,bkl,NO
677,bcc,nv,NO
678,nv,nv,SI
679,bcc,nv,NO
680,nv,mel,NO
681,akiec,df,NO
682,mel,mel,SI
683,bcc,nv,NO
684,df,nv,NO
685,mel,mel,SI
686,nv,nv,SI
687,nv,nv,SI
688,nv,nv,SI
689,mel,mel,SI
690,mel,nv,NO
691,bcc,bkl,NO
692,nv,nv,SI
693,akiec,akiec,SI
694,mel,mel,SI
695,mel,mel,SI
696,bcc,nv,NO
697,nv,nv,SI
698,nv,nv,SI
699,df,nv,NO
700,akiec,bkl,NO
701,nv,nv,SI
702,akiec,akiec,SI
703,nv,nv,SI
704,nv,nv,SI
705,mel,bkl,NO
706,akiec,bkl,NO
707,bcc,nv,NO
708,nv,nv,SI
709,akiec,bkl,NO
710,akiec,akiec,SI
711,bcc,nv,NO
712,df,nv,NO
713,nv,nv,SI
714,mel,nv,NO
715,bcc,nv,NO
716,nv,nv,SI
717,mel,mel,SI
718,nv,nv,SI
719,mel,mel,SI
720,bcc,nv,NO
721,akiec,bkl,NO
722,akiec,bkl,NO
723,bcc,nv,NO
724,nv,bkl,NO
725,akiec,mel,NO
726,nv,nv,SI
727,nv,nv,SI
728,nv,nv,SI
729,mel,nv,NO
730,akiec,nv,NO
731,akiec,bkl,NO
732,akiec,akiec,SI
733,vasc,nv,NO
734,bkl,nv,NO
735,nv,nv,SI
736,bkl,mel,NO
737,nv,nv,SI
738,mel,mel,SI
739,akiec,bkl,NO
740,nv,nv,SI
741,bcc,nv,NO
742,nv,nv,SI
743,akiec,nv,NO
744,bcc,vasc,NO
745,bcc,nv,NO
746,mel,mel,SI
747,bkl,nv,NO
748,nv,bkl,NO
749,vasc,nv,NO
750,nv,nv,SI
751,df,nv,NO
752,bcc,nv,NO
753,nv,nv,SI
754,akiec,nv,NO
755,nv,nv,SI
756,akiec,bcc,NO
757,nv,bkl,NO
758,bcc,nv,NO
759,mel,bkl,NO
760,akiec,nv,NO
761,mel,nv,NO
762,mel,mel,SI
763,vasc,nv,NO
764,akiec,nv,NO
765,nv,nv,SI
766,nv,bkl,NO
767,nv,nv,SI
768,akiec,nv,NO
769,vasc,nv,NO
770,akiec,nv,NO
771,nv,nv,SI
772,akiec,nv,NO
773,akiec,bkl,NO
774,nv,nv,SI
775,vasc,nv,NO
776,nv,nv,SI
777,nv,nv,SI
778,mel,mel,SI
779,akiec,mel,NO
780,bkl,bkl,SI
781,df,nv,NO
782,akiec,bcc,NO
783,akiec,df,NO
784,nv,nv,SI
785,nv,nv,SI
786,df,nv,NO
787,akiec,bkl,NO
788,mel,mel,SI
789,mel,nv,NO
790,akiec,nv,NO
791,nv,nv,SI
792,nv,nv,SI
793,nv,nv,SI
794,bcc,nv,NO
795,bcc,nv,NO
796,mel,bkl,NO
797,nv,nv,SI
798,bkl,nv,NO
799,vasc,bcc,NO
800,nv,nv,SI
801,nv,nv,SI
802,akiec,bkl,NO
803,df,nv,NO
804,bcc,akiec,NO
805,bcc,nv,NO
806,nv,nv,SI
807,nv,nv,SI
808,bcc,bcc,SI
809,akiec,akiec,SI
810,nv,nv,SI
811,nv,nv,SI
812,akiec,bkl,NO
813,mel,nv,NO
814,akiec,mel,NO
815,nv,nv,SI
816,nv,nv,SI
817,df,nv,NO
818,akiec,nv,NO
819,akiec,bkl,NO
820,df,mel,NO
821,nv,nv,SI
822,bcc,nv,NO
823,nv,mel,NO
824,akiec,nv,NO
825,bkl,nv,NO
826,df,nv,NO
827,df,nv,NO
828,bkl,mel,NO
829,mel,nv,NO
830,akiec,bkl,NO
831,vasc,nv,NO
832,nv,bkl,NO
833,bcc,bcc,SI
834,nv,nv,SI
835,bkl,mel,NO
836,df,nv,NO
837,bcc,nv,NO
838,akiec,akiec,SI
839,nv,nv,SI
840,vasc,nv,NO
841,mel,df,NO
842,mel,nv,NO
843,nv,nv,SI
844,nv,nv,SI
845,nv,nv,SI
846,akiec,bkl,NO
847,nv,mel,NO
848,vasc,nv,NO
849,vasc,bkl,NO
850,nv,nv,SI
851,vasc,mel,NO
852,nv,nv,SI
853,bkl,bkl,SI
854,nv,nv,SI
855,mel,mel,SI
856,bkl,bkl,SI
857,nv,nv,SI
858,nv,bkl,NO
859,bcc,nv,NO
860,bkl,bkl,SI
861,mel,nv,NO
862,akiec,bkl,NO
863,vasc,bcc,NO
864,nv,nv,SI
865,bcc,nv,NO
866,nv,nv,SI
867,bcc,akiec,NO
868,nv,bcc,NO
869,akiec,nv,NO
870,bkl,bkl,SI
871,nv,nv,SI
872,nv,nv,SI
873,akiec,nv,NO
874,bcc,bcc,SI
875,nv,nv,SI
876,nv,nv,SI
877,df,vasc,NO
878,bcc,nv,NO
879,mel,mel,SI
880,vasc,nv,NO
881,vasc,nv,NO
882,nv,bkl,NO
883,nv,nv,SI
884,akiec,mel,NO
885,nv,vasc,NO
886,vasc,bkl,NO
887,bcc,nv,NO
888,mel,mel,SI
889,vasc,bcc,NO
890,akiec,mel,NO
891,nv,nv,SI
892,nv,nv,SI
893,nv,nv,SI
894,vasc,nv,NO
895,nv,nv,SI
896,nv,mel,NO
897,mel,mel,SI
898,bkl,bkl,SI
899,nv,nv,SI
900,mel,nv,NO
901,df,bkl,NO
902,bcc,nv,NO
903,nv,nv,SI
904,nv,nv,SI
905,nv,nv,SI
906,mel,nv,NO
907,mel,nv,NO
908,df,bkl,NO
909,nv,nv,SI
910,mel,nv,NO
911,nv,nv,SI
912,bcc,nv,NO
913,bcc,vasc,NO
914,nv,nv,SI
915,vasc,vasc,SI
916,nv,bkl,NO
917,bkl,bcc,NO
918,nv,nv,SI
919,mel,mel,SI
920,akiec,nv,NO
921,bkl,nv,NO
922,bcc,nv,NO
923,nv,mel,NO
924,nv,nv,SI
925,mel,nv,NO
926,mel,bkl,NO
927,nv,nv,SI
928,bcc,bkl,NO
929,nv,nv,SI
930,df,nv,NO
931,mel,nv,NO
932,vasc,nv,NO
933,df,nv,NO
934,bcc,nv,NO
935,bcc,nv,NO
936,nv,bkl,NO
937,akiec,nv,NO
938,nv,nv,SI
939,mel,nv,NO
940,nv,nv,SI
941,mel,nv,NO
942,akiec,nv,NO
943,vasc,nv,NO
944,nv,nv,SI
945,vasc,mel,NO
946,bcc,bcc,SI
947,mel,mel,SI
948,mel,nv,NO
949,nv,nv,SI
950,bcc,nv,NO
951,akiec,nv,NO
952,nv,nv,SI
953,nv,nv,SI
954,nv,nv,SI
955,mel,nv,NO
956,bkl,bcc,NO
957,bcc,nv,NO
958,bcc,bcc,SI
959,mel,nv,NO
960,vasc,nv,NO
961,nv,nv,SI
962,bcc,vasc,NO
963,mel,bkl,NO
964,nv,nv,SI
965,df,nv,NO
966,akiec,nv,NO
967,mel,mel,SI
968,nv,bkl,NO
969,mel,nv,NO
970,akiec,nv,NO
971,nv,nv,SI
972,mel,mel,SI
973,bkl,mel,NO
974,nv,nv,SI
975,vasc,nv,NO
976,mel,mel,SI
977,mel,nv,NO
978,vasc,nv,NO
979,bcc,df,NO
980,nv,nv,SI
981,akiec,bcc,NO
982,bcc,nv,NO
983,nv,nv,SI
984,vasc,nv,NO
985,bcc,nv,NO
986,nv,nv,SI
987,mel,nv,NO
988,nv,nv,SI
989,nv,nv,SI
990,nv,nv,SI
991,akiec,nv,NO
992,bkl,mel,NO
993,akiec,nv,NO
994,akiec,akiec,SI
995,akiec,nv,NO
996,vasc,nv,NO
997,nv,nv,SI
998,nv,nv,SI
999,mel,nv,NO
1000,bkl,nv,NO
1001,akiec,nv,NO
1002,vasc,nv,NO
1003,bcc,bcc,SI
1004,nv,nv,SI
1005,bcc,nv,NO
1006,nv,nv,SI
1007,nv,nv,SI
1008,bcc,nv,NO
1009,akiec,bcc,NO
1010,nv,nv,SI
1011,bcc,bkl,NO
1012,nv,nv,SI
1013,nv,nv,SI
1014,akiec,bkl,NO
1015,mel,nv,NO
1016,mel,nv,NO
1017,nv,nv,SI
1018,nv,nv,SI
1019,akiec,nv,NO
1020,nv,nv,SI
1021,bcc,mel,NO
1022,nv,nv,SI
1023,nv,nv,SI
1024,mel,mel,SI
1025,vasc,nv,NO
1026,akiec,bkl,NO
1027,akiec,mel,NO
1028,nv,nv,SI
1029,mel,nv,NO
1030,bkl,bkl,SI
1031,vasc,nv,NO
1032,nv,nv,SI
1033,bcc,mel,NO
1034,nv,nv,SI
1035,mel,nv,NO
1036,akiec,akiec,SI
1037,akiec,nv,NO
1038,bcc,nv,NO
1039,bkl,nv,NO
1040,mel,nv,NO
1041,vasc,nv,NO
1042,bcc,nv,NO
1043,bkl,bkl,SI
1044,mel,nv,NO
1045,bkl,nv,NO
1046,mel,mel,SI
1047,akiec,bcc,NO
1048,nv,nv,SI
1049,df,nv,NO
1050,nv,nv,SI
1051,mel,akiec,NO
1052,nv,nv,SI
1053,bkl,vasc,NO
1054,akiec,nv,NO
1055,bcc,nv,NO
1056,vasc,nv,NO
1057,nv,nv,SI
1058,bkl,bkl,SI
1059,nv,nv,SI
1060,nv,nv,SI
1061,nv,nv,SI
1062,mel,nv,NO
1063,bkl,bkl,SI
1064,nv,nv,SI
1065,vasc,nv,NO
1066,bkl,bkl,SI
1067,nv,nv,SI
1068,akiec,bkl,NO
1069,nv,nv,SI
1070,nv,nv,SI
1071,nv,nv,SI
1072,nv,nv,SI
1073,akiec,bkl,NO
1074,nv,nv,SI
1075,akiec,mel,NO
1076,mel,mel,SI
1077,nv,nv,SI
1078,nv,nv,SI
1079,nv,nv,SI
1080,nv,nv,SI
1081,akiec,nv,NO
1082,nv,nv,SI
1083,mel,bkl,NO
1084,bcc,nv,NO
1085,bcc,bcc,SI
1086,bcc,nv,NO
1087,nv,nv,SI
1088,mel,nv,NO
1089,nv,nv,SI
1090,bcc,nv,NO
1091,akiec,nv,NO
1092,bcc,nv,NO
1093,mel,nv,NO
1094,nv,nv,SI
1095,nv,nv,SI
1096,mel,nv,NO
1097,bkl,nv,NO
1098,nv,mel,NO
1099,akiec,akiec,SI
1100,nv,nv,SI
1101,nv,nv,SI
1102,nv,mel,NO
1103,mel,nv,NO
1104,nv,nv,SI
1105,bkl,bkl,SI
1106,akiec,nv,NO
1107,bcc,nv,NO
1108,nv,bkl,NO
1109,nv,mel,NO
1110,bkl,nv,NO
1111,vasc,nv,NO
1112,mel,mel,SI
1113,vasc,nv,NO
1114,bcc,nv,NO
1115,nv,nv,SI
1116,bcc,nv,NO
1117,bcc,df,NO
1118,nv,vasc,NO
1119,akiec,akiec,SI
1120,nv,nv,SI
1121,bcc,mel,NO
1122,df,mel,NO
1123,nv,nv,SI
1124,bcc,bcc,SI
1125,nv,nv,SI
1126,bkl,bkl,SI
1127,mel,nv,NO
1128,akiec,bkl,NO
1129,mel,nv,NO
1130,bcc,nv,NO
1131,nv,nv,SI
1132,akiec,nv,NO
1133,nv,nv,SI
1134,nv,nv,SI
1135,nv,nv,SI
1136,nv,nv,SI
1137,df,nv,NO
1138,nv,nv,SI
1139,nv,nv,SI
1140,nv,bkl,NO
1141,bkl,nv,NO
1142,akiec,nv,NO
1143,mel,nv,NO
1144,nv,nv,SI
1145,bcc,nv,NO
1146,bcc,nv,NO
1147,nv,nv,SI
1148,mel,nv,NO
1149,bcc,nv,NO
1150,df,nv,NO
1151,nv,nv,SI
1152,akiec,nv,NO
1153,akiec,bkl,NO
1154,bkl,akiec,NO
1155,nv,nv,SI
1156,akiec,akiec,SI
1157,bcc,nv,NO
1158,nv,nv,SI
1159,akiec,nv,NO
1160,bcc,nv,NO
1161,bcc,bkl,NO
1162,mel,mel,SI
1163,nv,mel,NO
1164,mel,nv,NO
1165,nv,nv,SI
1166,nv,nv,SI
1167,bcc,bcc,SI
1168,akiec,vasc,NO
1169,mel,mel,SI
1170,akiec,akiec,SI
1171,nv,nv,SI
1172,bkl,nv,NO
1173,nv,nv,SI
1174,nv,nv,SI
1175,nv,nv,SI
1176,bcc,nv,NO
1177,akiec,akiec,SI
1178,bkl,nv,NO
1179,df,nv,NO
1180,akiec,bcc,NO
1181,nv,nv,SI
1182,akiec,bkl,NO
1183,akiec,mel,NO
1184,nv,nv,SI
