Patron,Salida_RNA,Salida_Esperada,Correcto
160,nv,nv,SI
161,bkl,akiec,NO
162,nv,nv,SI
163,nv,nv,SI
164,nv,nv,SI
165,nv,nv,SI
166,nv,nv,SI
167,nv,nv,SI
168,vasc,nv,NO
169,bcc,nv,NO
170,mel,akiec,NO
171,nv,nv,SI
172,nv,mel,NO
173,nv,nv,SI
174,nv,nv,SI
175,nv,nv,SI
176,akiec,akiec,SI
177,nv,mel,NO
178,bkl,bkl,SI
179,nv,nv,SI
180,bkl,nv,NO
181,nv,nv,SI
182,nv,akiec,NO
183,nv,bkl,NO
184,nv,nv,SI
185,nv,nv,SI
186,nv,nv,SI
187,bcc,bcc,SI
188,bkl,bkl,SI
189,nv,nv,SI
190,nv,nv,SI
191,mel,nv,NO
192,nv,nv,SI
193,bkl,bcc,NO
194,nv,nv,SI
195,nv,akiec,NO
196,nv,nv,SI
197,bkl,bcc,NO
198,bcc,bkl,NO
199,nv,nv,SI
200,mel,mel,SI
201,nv,nv,SI
202,nv,nv,SI
203,bkl,akiec,NO
204,nv,nv,SI
205,nv,nv,SI
206,bkl,nv,NO
207,nv,nv,SI
208,nv,nv,SI
209,nv,nv,SI
210,nv,nv,SI
211,nv,nv,SI
212,nv,nv,SI
213,nv,nv,SI
214,akiec,bcc,NO
215,nv,nv,SI
216,nv,nv,SI
217,bkl,bkl,SI
218,nv,nv,SI
219,nv,mel,NO
220,nv,nv,SI
221,nv,nv,SI
222,nv,nv,SI
223,nv,nv,SI
224,nv,nv,SI
225,nv,nv,SI
226,nv,nv,SI
227,nv,nv,SI
228,nv,mel,NO
229,nv,nv,SI
230,bkl,nv,NO
231,nv,nv,SI
232,nv,nv,SI
233,nv,nv,SI
234,nv,nv,SI
235,nv,nv,SI
236,bkl,bkl,SI
237,nv,nv,SI
238,vasc,bcc,NO
239,mel,mel,SI
240,nv,nv,SI
241,nv,mel,NO
242,mel,nv,NO
243,nv,nv,SI
244,bcc,nv,NO
245,nv,nv,SI
246,nv,nv,SI
247,nv,nv,SI
248,nv,nv,SI
249,bkl,bkl,SI
250,nv,nv,SI
251,bkl,bkl,SI
252,nv,nv,SI
253,nv,nv,SI
254,nv,mel,NO
255,nv,nv,SI
256,bcc,bkl,NO
257,nv,nv,SI
258,nv,mel,NO
259,nv,bkl,NO
260,nv,nv,SI
261,nv,nv,SI
262,nv,nv,SI
263,vasc,nv,NO
264,nv,nv,SI
265,nv,bcc,NO
266,nv,nv,SI
267,nv,nv,SI
268,mel,nv,NO
269,bcc,bkl,NO
270,nv,nv,SI
271,nv,nv,SI
272,nv,nv,SI
273,nv,nv,SI
274,nv,nv,SI
275,nv,nv,SI
276,nv,nv,SI
277,nv,bkl,NO
278,nv,nv,SI
279,nv,vasc,NO
280,nv,nv,SI
281,nv,nv,SI
282,nv,akiec,NO
283,nv,mel,NO
284,df,bcc,NO
285,bkl,bkl,SI
286,mel,nv,NO
287,mel,nv,NO
288,nv,nv,SI
289,bkl,mel,NO
290,bcc,nv,NO
291,bcc,bcc,SI
292,nv,df,NO
293,nv,nv,SI
294,akiec,df,NO
295,nv,nv,SI
296,nv,nv,SI
297,nv,nv,SI
298,nv,nv,SI
299,nv,nv,SI
300,nv,nv,SI
301,bkl,nv,NO
302,bkl,nv,NO
303,bkl,nv,NO
304,bcc,nv,NO
305,nv,nv,SI
306,nv,nv,SI
307,nv,nv,SI
308,nv,nv,SI
309,nv,akiec,NO
310,nv,nv,SI
311,nv,nv,SI
312,nv,bcc,NO
313,nv,bkl,NO
314,mel,mel,SI
315,nv,mel,NO
316,nv,bkl,NO
317,nv,nv,SI
318,bcc,bcc,SI
319,bkl,mel,NO
320,bkl,nv,NO
321,nv,nv,SI
322,nv,bcc,NO
323,nv,nv,SI
324,mel,mel,SI
325,nv,nv,SI
326,nv,nv,SI
327,bcc,nv,NO
328,mel,nv,NO
329,nv,nv,SI
330,nv,nv,SI
331,nv,nv,SI
332,nv,nv,SI
333,bkl,bkl,SI
334,nv,nv,SI
335,bcc,akiec,NO
336,nv,nv,SI
337,bkl,nv,NO
338,nv,nv,SI
339,nv,nv,SI
340,nv,nv,SI
341,nv,nv,SI
342,nv,df,NO
343,nv,nv,SI
344,nv,nv,SI
345,nv,vasc,NO
346,bcc,nv,NO
347,bcc,nv,NO
348,akiec,bcc,NO
349,nv,nv,SI
350,nv,mel,NO
351,bkl,bkl,SI
352,bkl,bkl,SI
353,bkl,bkl,SI
354,mel,mel,SI
355,bkl,bkl,SI
356,nv,nv,SI
357,nv,bkl,NO
358,bkl,mel,NO
359,nv,nv,SI
360,nv,nv,SI
361,nv,nv,SI
362,bkl,bkl,SI
363,nv,nv,SI
364,nv,nv,SI
365,bkl,bcc,NO
366,nv,nv,SI
367,nv,nv,SI
368,nv,nv,SI
369,nv,nv,SI
370,nv,nv,SI
371,nv,mel,NO
372,nv,nv,SI
373,nv,bkl,NO
374,nv,nv,SI
375,nv,nv,SI
376,mel,mel,SI
377,bkl,nv,NO
378,bkl,bkl,SI
379,nv,nv,SI
380,nv,bcc,NO
381,nv,nv,SI
382,mel,bkl,NO
383,bcc,akiec,NO
384,nv,nv,SI
385,bcc,mel,NO
386,nv,nv,SI
387,nv,nv,SI
388,nv,nv,SI
389,nv,bkl,NO
390,nv,nv,SI
391,akiec,akiec,SI
392,mel,nv,NO
393,nv,bkl,NO
394,nv,mel,NO
395,nv,nv,SI
396,nv,nv,SI
397,nv,mel,NO
398,nv,mel,NO
399,vasc,mel,NO
400,bcc,bcc,SI
401,nv,nv,SI
402,bcc,nv,NO
403,nv,nv,SI
404,bkl,mel,NO
405,nv,nv,SI
406,nv,nv,SI
407,nv,nv,SI
408,bkl,nv,NO
409,nv,bkl,NO
410,bcc,bkl,NO
411,nv,nv,SI
412,nv,nv,SI
413,nv,nv,SI
414,nv,nv,SI
415,df,mel,NO
416,nv,nv,SI
417,bkl,bcc,NO
418,bkl,nv,NO
419,mel,akiec,NO
420,nv,nv,SI
421,nv,nv,SI
422,nv,nv,SI
423,nv,mel,NO
424,nv,nv,SI
425,bkl,bkl,SI
426,nv,nv,SI
427,nv,nv,SI
428,nv,nv,SI
429,nv,nv,SI
430,nv,nv,SI
431,bkl,mel,NO
432,nv,nv,SI
433,nv,nv,SI
434,nv,nv,SI
435,nv,nv,SI
436,nv,nv,SI
437,mel,nv,NO
438,bkl,nv,NO
439,mel,nv,NO
440,nv,nv,SI
441,nv,nv,SI
442,nv,nv,SI
443,vasc,nv,NO
444,nv,nv,SI
445,bcc,nv,NO
446,mel,akiec,NO
447,nv,nv,SI
448,nv,nv,SI
449,nv,nv,SI
450,nv,nv,SI
451,nv,nv,SI
452,nv,nv,SI
453,bkl,nv,NO
454,nv,nv,SI
455,mel,nv,NO
456,nv,nv,SI
457,nv,nv,SI
458,nv,nv,SI
459,bkl,bcc,NO
460,nv,nv,SI
461,nv,bcc,NO
462,nv,nv,SI
463,bkl,nv,NO
464,nv,nv,SI
465,bcc,bkl,NO
466,nv,nv,SI
467,nv,vasc,NO
468,nv,bcc,NO
469,mel,mel,SI
470,nv,nv,SI
471,nv,bkl,NO
472,mel,nv,NO
473,bkl,mel,NO
474,nv,nv,SI
475,nv,nv,SI
476,bkl,bkl,SI
477,bkl,bkl,SI
478,bcc,nv,NO
479,nv,nv,SI
480,nv,nv,SI
481,nv,bcc,NO
482,nv,nv,SI
483,nv,bkl,NO
484,bkl,akiec,NO
485,nv,nv,SI
486,bcc,df,NO
487,nv,nv,SI
488,mel,nv,NO
489,nv,akiec,NO
490,mel,bkl,NO
491,nv,nv,SI
492,nv,nv,SI
493,bkl,bkl,SI
494,bcc,bcc,SI
495,bcc,bcc,SI
496,df,bcc,NO
497,bkl,mel,NO
498,bkl,mel,NO
499,nv,nv,SI
500,mel,nv,NO
501,nv,mel,NO
502,mel,akiec,NO
503,nv,nv,SI
504,mel,nv,NO
505,nv,nv,SI
506,nv,mel,NO
507,nv,nv,SI
508,nv,mel,NO
509,bkl,mel,NO
510,mel,df,NO
511,nv,nv,SI
512,nv,nv,SI
513,nv,nv,SI
514,nv,nv,SI
515,nv,nv,SI
516,bcc,nv,NO
517,nv,mel,NO
518,nv,nv,SI
519,nv,nv,SI
520,nv,nv,SI
521,nv,mel,NO
522,nv,nv,SI
523,nv,nv,SI
524,mel,nv,NO
525,nv,nv,SI
526,nv,nv,SI
527,nv,nv,SI
528,akiec,bkl,NO
529,nv,nv,SI
530,bkl,nv,NO
531,nv,nv,SI
532,nv,nv,SI
533,nv,nv,SI
534,bkl,bkl,SI
535,mel,nv,NO
536,nv,mel,NO
537,mel,mel,SI
538,mel,nv,NO
539,nv,bcc,NO
540,mel,nv,NO
541,nv,nv,SI
542,nv,nv,SI
543,nv,nv,SI
544,nv,nv,SI
545,nv,nv,SI
546,nv,nv,SI
547,nv,nv,SI
548,bkl,bkl,SI
549,nv,nv,SI
550,nv,mel,NO
551,nv,nv,SI
552,mel,mel,SI
553,akiec,bkl,NO
554,bkl,nv,NO
555,nv,nv,SI
556,nv,nv,SI
557,nv,nv,SI
558,nv,nv,SI
559,nv,nv,SI
560,nv,mel,NO
561,bcc,bcc,SI
562,mel,nv,NO
563,mel,mel,SI
564,nv,mel,NO
565,mel,nv,NO
566,nv,nv,SI
567,mel,bkl,NO
568,nv,nv,SI
569,nv,nv,SI
570,nv,vasc,NO
571,nv,bcc,NO
572,nv,nv,SI
573,nv,nv,SI
574,nv,nv,SI
575,nv,nv,SI
576,mel,nv,NO
577,nv,nv,SI
578,nv,nv,SI
579,nv,mel,NO
580,df,nv,NO
581,bkl,nv,NO
582,df,df,SI
583,nv,mel,NO
584,bkl,bkl,SI
585,nv,nv,SI
586,nv,nv,SI
587,bcc,bcc,SI
588,bkl,nv,NO
589,bkl,mel,NO
590,mel,bkl,NO
591,nv,nv,SI
592,nv,bcc,NO
593,nv,nv,SI
594,nv,vasc,NO
595,nv,nv,SI
596,nv,mel,NO
597,nv,nv,SI
598,nv,nv,SI
599,bkl,mel,NO
600,mel,bkl,NO
601,nv,nv,SI
602,nv,nv,SI
603,nv,mel,NO
604,mel,bkl,NO
605,bkl,bcc,NO
606,bkl,nv,NO
607,nv,nv,SI
608,nv,nv,SI
609,mel,nv,NO
610,nv,nv,SI
611,nv,nv,SI
612,bcc,nv,NO
613,nv,nv,SI
614,nv,nv,SI
615,nv,bcc,NO
616,bkl,mel,NO
617,nv,nv,SI
618,nv,nv,SI
619,nv,nv,SI
620,bkl,bkl,SI
621,nv,nv,SI
622,bkl,nv,NO
623,nv,nv,SI
624,nv,bkl,NO
625,nv,mel,NO
626,bcc,nv,NO
627,nv,nv,SI
628,nv,nv,SI
629,nv,vasc,NO
630,nv,nv,SI
631,nv,nv,SI
632,nv,bkl,NO
633,nv,nv,SI
634,nv,nv,SI
635,akiec,akiec,SI
636,bkl,bkl,SI
637,nv,nv,SI
638,nv,nv,SI
639,bcc,akiec,NO
640,nv,nv,SI
641,mel,mel,SI
642,nv,nv,SI
643,akiec,bkl,NO
644,nv,nv,SI
645,nv,nv,SI
646,mel,mel,SI
647,bkl,akiec,NO
648,nv,nv,SI
649,mel,nv,NO
650,nv,nv,SI
651,mel,mel,SI
652,nv,nv,SI
653,nv,nv,SI
654,nv,akiec,NO
655,bkl,akiec,NO
656,mel,mel,SI
657,nv,nv,SI
658,nv,nv,SI
659,nv,nv,SI
660,mel,mel,SI
661,nv,nv,SI
662,mel,mel,SI
663,nv,nv,SI
664,nv,bcc,NO
665,nv,nv,SI
666,bkl,nv,NO
667,nv,nv,SI
668,nv,nv,SI
669,nv,mel,NO
670,nv,nv,SI
671,nv,bkl,NO
672,nv,nv,SI
673,nv,mel,NO
674,bcc,bcc,SI
675,nv,akiec,NO
676,nv,bkl,NO
677,nv,nv,SI
678,nv,nv,SI
679,nv,nv,SI
680,bkl,mel,NO
681,df,df,SI
682,mel,mel,SI
683,nv,nv,SI
684,nv,nv,SI
685,nv,mel,NO
686,nv,nv,SI
687,nv,nv,SI
688,nv,nv,SI
689,nv,mel,NO
690,nv,nv,SI
691,nv,bkl,NO
692,bkl,nv,NO
693,bcc,akiec,NO
694,nv,mel,NO
695,nv,mel,NO
696,nv,nv,SI
697,nv,nv,SI
698,nv,nv,SI
699,nv,nv,SI
700,akiec,bkl,NO
701,nv,nv,SI
702,akiec,akiec,SI
703,nv,nv,SI
704,nv,nv,SI
705,bkl,bkl,SI
706,nv,bkl,NO
707,nv,nv,SI
708,nv,nv,SI
709,bkl,bkl,SI
710,nv,akiec,NO
711,nv,nv,SI
712,nv,nv,SI
713,nv,nv,SI
714,nv,nv,SI
715,bcc,nv,NO
716,nv,nv,SI
717,bkl,mel,NO
718,nv,nv,SI
719,nv,mel,NO
720,nv,nv,SI
721,mel,bkl,NO
722,mel,bkl,NO
723,nv,nv,SI
724,bcc,bkl,NO
725,mel,mel,SI
726,nv,nv,SI
727,nv,nv,SI
728,nv,nv,SI
729,mel,nv,NO
730,nv,nv,SI
731,bkl,bkl,SI
732,mel,akiec,NO
733,nv,nv,SI
734,nv,nv,SI
735,nv,nv,SI
736,bkl,mel,NO
737,nv,nv,SI
738,nv,mel,NO
739,mel,bkl,NO
740,nv,nv,SI
741,nv,nv,SI
742,nv,nv,SI
743,nv,nv,SI
744,nv,vasc,NO
745,nv,nv,SI
746,bkl,mel,NO
747,nv,nv,SI
748,nv,bkl,NO
749,nv,nv,SI
750,nv,nv,SI
751,nv,nv,SI
752,nv,nv,SI
753,nv,nv,SI
754,bcc,nv,NO
755,nv,nv,SI
756,akiec,bcc,NO
757,nv,bkl,NO
758,nv,nv,SI
759,bkl,bkl,SI
760,nv,nv,SI
761,mel,nv,NO
762,nv,mel,NO
763,nv,nv,SI
764,mel,nv,NO
765,nv,nv,SI
766,nv,bkl,NO
767,nv,nv,SI
768,nv,nv,SI
769,nv,nv,SI
770,nv,nv,SI
771,nv,nv,SI
772,nv,nv,SI
773,bcc,bkl,NO
774,nv,nv,SI
775,mel,nv,NO
776,nv,nv,SI
777,nv,nv,SI
778,nv,mel,NO
779,mel,mel,SI
780,akiec,bkl,NO
781,df,nv,NO
782,nv,bcc,NO
783,akiec,df,NO
784,nv,nv,SI
785,nv,nv,SI
786,nv,nv,SI
787,bcc,bkl,NO
788,nv,mel,NO
789,nv,nv,SI
790,bkl,nv,NO
791,nv,nv,SI
792,nv,nv,SI
793,nv,nv,SI
794,mel,nv,NO
795,nv,nv,SI
796,nv,bkl,NO
797,nv,nv,SI
798,bkl,nv,NO
799,mel,bcc,NO
800,nv,nv,SI
801,nv,nv,SI
802,bkl,bkl,SI
803,bcc,nv,NO
804,bcc,akiec,NO
805,bcc,nv,NO
806,nv,nv,SI
807,nv,nv,SI
808,nv,bcc,NO
809,akiec,akiec,SI
810,nv,nv,SI
811,nv,nv,SI
812,nv,bkl,NO
813,nv,nv,SI
814,nv,mel,NO
815,nv,nv,SI
816,mel,nv,NO
817,nv,nv,SI
818,nv,nv,SI
819,bkl,bkl,SI
820,nv,mel,NO
821,nv,nv,SI
822,bkl,nv,NO
823,nv,mel,NO
824,nv,nv,SI
825,nv,nv,SI
826,nv,nv,SI
827,nv,nv,SI
828,bkl,mel,NO
829,nv,nv,SI
830,bkl,bkl,SI
831,nv,nv,SI
832,nv,bkl,NO
833,bkl,bcc,NO
834,nv,nv,SI
835,bkl,mel,NO
836,nv,nv,SI
837,mel,nv,NO
838,bcc,akiec,NO
839,nv,nv,SI
840,nv,nv,SI
841,bkl,df,NO
842,nv,nv,SI
843,nv,nv,SI
844,nv,nv,SI
845,nv,nv,SI
846,bkl,bkl,SI
847,nv,mel,NO
848,bkl,nv,NO
849,nv,bkl,NO
850,nv,nv,SI
851,nv,mel,NO
852,nv,nv,SI
853,nv,bkl,NO
854,nv,nv,SI
855,nv,mel,NO
856,bkl,bkl,SI
857,nv,nv,SI
858,nv,bkl,NO
859,nv,nv,SI
860,nv,bkl,NO
861,nv,nv,SI
862,bkl,bkl,SI
863,nv,bcc,NO
864,nv,nv,SI
865,nv,nv,SI
866,nv,nv,SI
867,nv,akiec,NO
868,nv,bcc,NO
869,nv,nv,SI
870,mel,bkl,NO
871,nv,nv,SI
872,nv,nv,SI
873,nv,nv,SI
874,bkl,bcc,NO
875,nv,nv,SI
876,nv,nv,SI
877,nv,vasc,NO
878,nv,nv,SI
879,nv,mel,NO
880,nv,nv,SI
881,nv,nv,SI
882,nv,bkl,NO
883,bkl,nv,NO
884,nv,mel,NO
885,nv,vasc,NO
886,nv,bkl,NO
887,akiec,nv,NO
888,nv,mel,NO
889,bkl,bcc,NO
890,mel,mel,SI
891,nv,nv,SI
892,bcc,nv,NO
893,nv,nv,SI
894,nv,nv,SI
895,nv,nv,SI
896,nv,mel,NO
897,mel,mel,SI
898,bkl,bkl,SI
899,nv,nv,SI
900,bkl,nv,NO
901,mel,bkl,NO
902,nv,nv,SI
903,nv,nv,SI
904,nv,nv,SI
905,nv,nv,SI
906,nv,nv,SI
907,nv,nv,SI
908,bkl,bkl,SI
909,nv,nv,SI
910,nv,nv,SI
911,nv,nv,SI
912,nv,nv,SI
913,nv,vasc,NO
914,nv,nv,SI
915,nv,vasc,NO
916,bkl,bkl,SI
917,bkl,bcc,NO
918,nv,nv,SI
919,nv,mel,NO
920,nv,nv,SI
921,nv,nv,SI
922,nv,nv,SI
923,nv,mel,NO
924,mel,nv,NO
925,nv,nv,SI
926,nv,bkl,NO
927,nv,nv,SI
928,nv,bkl,NO
929,nv,nv,SI
930,nv,nv,SI
931,nv,nv,SI
932,nv,nv,SI
933,nv,nv,SI
934,mel,nv,NO
935,bcc,nv,NO
936,nv,bkl,NO
937,nv,nv,SI
938,nv,nv,SI
939,nv,nv,SI
940,nv,nv,SI
941,nv,nv,SI
942,nv,nv,SI
943,nv,nv,SI
944,nv,nv,SI
945,nv,mel,NO
946,bcc,bcc,SI
947,nv,mel,NO
948,nv,nv,SI
949,nv,nv,SI
950,mel,nv,NO
951,akiec,nv,NO
952,nv,nv,SI
953,nv,nv,SI
954,nv,nv,SI
955,nv,nv,SI
956,nv,bcc,NO
957,nv,nv,SI
958,bcc,bcc,SI
959,nv,nv,SI
960,bkl,nv,NO
961,nv,nv,SI
962,nv,vasc,NO
963,bkl,bkl,SI
964,mel,nv,NO
965,nv,nv,SI
966,nv,nv,SI
967,bkl,mel,NO
968,nv,bkl,NO
969,nv,nv,SI
970,nv,nv,SI
971,nv,nv,SI
972,mel,mel,SI
973,bkl,mel,NO
974,nv,nv,SI
975,nv,nv,SI
976,mel,mel,SI
977,nv,nv,SI
978,nv,nv,SI
979,bcc,df,NO
980,nv,nv,SI
981,bkl,bcc,NO
982,nv,nv,SI
983,nv,nv,SI
984,nv,nv,SI
985,bcc,nv,NO
986,nv,nv,SI
987,mel,nv,NO
988,nv,nv,SI
989,nv,nv,SI
990,nv,nv,SI
991,nv,nv,SI
992,nv,mel,NO
993,nv,nv,SI
994,akiec,akiec,SI
995,nv,nv,SI
996,nv,nv,SI
997,nv,nv,SI
998,nv,nv,SI
999,nv,nv,SI
1000,nv,nv,SI
1001,nv,nv,SI
1002,nv,nv,SI
1003,bcc,bcc,SI
1004,nv,nv,SI
1005,bcc,nv,NO
1006,nv,nv,SI
1007,nv,nv,SI
1008,nv,nv,SI
1009,bkl,bcc,NO
1010,nv,nv,SI
1011,nv,bkl,NO
1012,nv,nv,SI
1013,nv,nv,SI
1014,mel,bkl,NO
1015,mel,nv,NO
1016,nv,nv,SI
1017,nv,nv,SI
1018,nv,nv,SI
1019,bkl,nv,NO
1020,nv,nv,SI
1021,mel,mel,SI
1022,bcc,nv,NO
1023,nv,nv,SI
1024,mel,mel,SI
1025,mel,nv,NO
1026,bkl,bkl,SI
1027,bkl,mel,NO
1028,nv,nv,SI
1029,nv,nv,SI
1030,bkl,bkl,SI
1031,nv,nv,SI
1032,nv,nv,SI
1033,bkl,mel,NO
1034,nv,nv,SI
1035,nv,nv,SI
1036,bcc,akiec,NO
1037,nv,nv,SI
1038,nv,nv,SI
1039,nv,nv,SI
1040,nv,nv,SI
1041,nv,nv,SI
1042,bkl,nv,NO
1043,bkl,bkl,SI
1044,nv,nv,SI
1045,nv,nv,SI
1046,mel,mel,SI
1047,mel,bcc,NO
1048,nv,nv,SI
1049,nv,nv,SI
1050,nv,nv,SI
1051,nv,akiec,NO
1052,nv,nv,SI
1053,nv,vasc,NO
1054,nv,nv,SI
1055,nv,nv,SI
1056,nv,nv,SI
1057,nv,nv,SI
1058,bkl,bkl,SI
1059,nv,nv,SI
1060,nv,nv,SI
1061,nv,nv,SI
1062,nv,nv,SI
1063,mel,bkl,NO
1064,nv,nv,SI
1065,nv,nv,SI
1066,bkl,bkl,SI
1067,nv,nv,SI
1068,nv,bkl,NO
1069,nv,nv,SI
1070,nv,nv,SI
1071,nv,nv,SI
1072,nv,nv,SI
1073,akiec,bkl,NO
1074,nv,nv,SI
1075,bkl,mel,NO
1076,nv,mel,NO
1077,nv,nv,SI
1078,nv,nv,SI
1079,nv,nv,SI
1080,nv,nv,SI
1081,nv,nv,SI
1082,nv,nv,SI
1083,nv,bkl,NO
1084,nv,nv,SI
1085,nv,bcc,NO
1086,nv,nv,SI
1087,nv,nv,SI
1088,mel,nv,NO
1089,nv,nv,SI
1090,nv,nv,SI
1091,nv,nv,SI
1092,nv,nv,SI
1093,nv,nv,SI
1094,nv,nv,SI
1095,nv,nv,SI
1096,nv,nv,SI
1097,nv,nv,SI
1098,nv,mel,NO
1099,bcc,akiec,NO
1100,nv,nv,SI
1101,nv,nv,SI
1102,nv,mel,NO
1103,mel,nv,NO
1104,nv,nv,SI
1105,bkl,bkl,SI
1106,nv,nv,SI
1107,nv,nv,SI
1108,bkl,bkl,SI
1109,mel,mel,SI
1110,bkl,nv,NO
1111,nv,nv,SI
1112,mel,mel,SI
1113,nv,nv,SI
1114,nv,nv,SI
1115,nv,nv,SI
1116,nv,nv,SI
1117,nv,df,NO
1118,mel,vasc,NO
1119,akiec,akiec,SI
1120,nv,nv,SI
1121,nv,mel,NO
1122,nv,mel,NO
1123,nv,nv,SI
1124,nv,bcc,NO
1125,nv,nv,SI
1126,bkl,bkl,SI
1127,nv,nv,SI
1128,df,bkl,NO
1129,nv,nv,SI
1130,nv,nv,SI
1131,nv,nv,SI
1132,bkl,nv,NO
1133,mel,nv,NO
1134,nv,nv,SI
1135,nv,nv,SI
1136,nv,nv,SI
1137,nv,nv,SI
1138,nv,nv,SI
1139,nv,nv,SI
1140,nv,bkl,NO
1141,nv,nv,SI
1142,nv,nv,SI
1143,nv,nv,SI
1144,nv,nv,SI
1145,bcc,nv,NO
1146,bcc,nv,NO
1147,nv,nv,SI
1148,nv,nv,SI
1149,nv,nv,SI
1150,mel,nv,NO
1151,nv,nv,SI
1152,nv,nv,SI
1153,df,bkl,NO
1154,bkl,akiec,NO
1155,nv,nv,SI
1156,akiec,akiec,SI
1157,nv,nv,SI
1158,nv,nv,SI
1159,bkl,nv,NO
1160,nv,nv,SI
1161,nv,bkl,NO
1162,nv,mel,NO
1163,nv,mel,NO
1164,nv,nv,SI
1165,nv,nv,SI
1166,nv,nv,SI
1167,bcc,bcc,SI
1168,nv,vasc,NO
1169,mel,mel,SI
1170,df,akiec,NO
1171,nv,nv,SI
1172,nv,nv,SI
1173,nv,nv,SI
1174,nv,nv,SI
1175,nv,nv,SI
1176,nv,nv,SI
1177,bcc,akiec,NO
1178,bkl,nv,NO
1179,nv,nv,SI
1180,bcc,bcc,SI
1181,nv,nv,SI
1182,nv,bkl,NO
1183,akiec,mel,NO
1184,nv,nv,SI
1185,nv,nv,SI
1186,nv,nv,SI
1187,nv,mel,NO
1188,nv,nv,SI
1189,mel,nv,NO
1190,bcc,bkl,NO
1191,nv,nv,SI
1192,nv,bcc,NO
1193,nv,nv,SI
1194,mel,nv,NO
1195,nv,nv,SI
1196,nv,nv,SI
1197,nv,nv,SI
1198,nv,mel,NO
1199,mel,nv,NO
1200,nv,nv,SI
1201,nv,nv,SI
1202,nv,nv,SI
1203,akiec,akiec,SI
1204,nv,nv,SI
1205,bkl,bkl,SI
